"order_no","status","timestamp","dist","net","comm","pickup","dropoff"
"redacted","COMPLETED","Thursday, September 25, 2025 6:04 AM","12.5","136.8","34.2",redacted,redacted
"redacted","COMPLETED","Thursday, September 25, 2025 6:46 AM","9.7","104.0","26.0",redacted,redacted
"redacted","COMPLETED","Thursday, September 25, 2025 4:56 AM","10.8","116.0","29.0",redacted,redacted
"redacted","COMPLETED","Thursday, September 25, 2025 7:26 AM","14.0","155.2","38.8",redacted,redacted
"redacted","COMPLETED","Thursday, September 25, 2025 12:56 PM","9.8","104.8","26.2",redacted,redacted
"redacted","COMPLETED","Friday, September 26, 2025 7:44 AM","11.9","129.6","32.4",redacted,redacted
"redacted","DRIVER CANCELLED","Thursday, September 25, 2025 3:51 PM","0.0","0.0","0.0",redacted,redacted
"redacted","COMPLETED","Thursday, September 25, 2025 9:19 AM","10.6","114.4","28.6",redacted,redacted
"redacted","COMPLETED","Thursday, September 25, 2025 3:23 PM","0.8","40.0","10.0",redacted,redacted
"redacted","COMPLETED","Thursday, September 25, 2025 6:57 PM","8.2","85.6","21.4",redacted,redacted
"redacted","CUSTOMER CANCELLED","Friday, September 26, 2025 7:05 AM","0.0","0.0","0.0",redacted,redacted
"redacted","COMPLETED","Thursday, September 25, 2025 2:32 PM","2.9","46.4","11.6",redacted,redacted
"redacted","COMPLETED","Thursday, September 25, 2025 5:02 PM","11.9","129.6","32.4",redacted,redacted
"redacted","COMPLETED","Friday, September 26, 2025 7:14 AM","7.5","79.2","19.8",redacted,redacted
"redacted","COMPLETED","Thursday, September 25, 2025 10:47 AM","7.4","79.2","19.8",redacted,redacted
"redacted","COMPLETED","Thursday, September 25, 2025 4:09 PM","6.4","71.2","17.8",redacted,redacted
"redacted","COMPLETED","Friday, September 26, 2025 6:15 AM","13.5","148.8","37.2",redacted,redacted
"redacted","CUSTOMER CANCELLED","Thursday, September 25, 2025 11:19 AM","0.0","0.0","0.0",redacted,redacted
"redacted","DRIVER CANCELLED","Thursday, September 25, 2025 1:43 PM","0.0","0.0","0.0",redacted,redacted
"redacted","DRIVER CANCELLED","Friday, September 26, 2025 10:19 AM","0.0","0.0","0.0",redacted,redacted
"redacted","COMPLETED","Friday, September 26, 2025 12:03 PM","2.2","41.6","10.4",redacted,redacted
"redacted","COMPLETED","Friday, September 26, 2025 10:33 AM","7.3","98.4","19.6",redacted,redacted
"redacted","COMPLETED","Friday, September 26, 2025 8:30 AM","6.5","72.8","18.2",redacted,redacted
"redacted","COMPLETED","Friday, September 26, 2025 12:33 PM","1.9","40.0","10.0",redacted,redacted
"redacted","COMPLETED","Friday, September 26, 2025 11:26 AM","9.8","104.8","26.2",redacted,redacted
"redacted","COMPLETED","Friday, September 26, 2025 9:28 AM","6.9","75.2","18.8",redacted,redacted
"redacted","DRIVER CANCELLED","Friday, September 26, 2025 9:54 AM","0.0","0.0","0.0",redacted,redacted
"redacted","COMPLETED","Friday, September 26, 2025 9:08 AM","3.6","52.0","13.0",redacted,redacted
"redacted","COMPLETED","Tuesday, September 30, 2025 5:50 AM","13.8","152.8","38.2",redacted,redacted
"redacted","COMPLETED","Tuesday, September 30, 2025 6:51 AM","14.6","161.6","40.4",redacted,redacted
"redacted","COMPLETED","Tuesday, September 30, 2025 7:54 AM","5.3","84.0","16.0",redacted,redacted
"redacted","CUSTOMER CANCELLED","Tuesday, September 30, 2025 11:36 AM","0.0","0.0","0.0",redacted,redacted
"redacted","COMPLETED","Tuesday, September 30, 2025 8:55 AM","7.2","77.6","19.4",redacted,redacted
"redacted","COMPLETED","Tuesday, September 30, 2025 12:20 PM","17.9","202.4","50.6",redacted,redacted
"redacted","COMPLETED","Tuesday, September 30, 2025 2:12 PM","6.9","75.2","18.8",redacted,redacted
"redacted","COMPLETED","Tuesday, September 30, 2025 11:48 AM","3.7","52.8","13.2",redacted,redacted
"redacted","COMPLETED","Tuesday, September 30, 2025 9:31 AM","7.1","76.8","19.2",redacted,redacted
"redacted","COMPLETED","Wednesday, October 1, 2025 4:06 PM","7.6","80.0","20.0",redacted,redacted
"redacted","COMPLETED","Wednesday, October 1, 2025 5:27 PM","7.8","81.6","20.4",redacted,redacted
"redacted","COMPLETED","Wednesday, October 1, 2025 4:47 PM","6.0","68.8","17.2",redacted,redacted
"redacted","COMPLETED","Wednesday, October 1, 2025 7:43 PM","14.2","157.6","39.4",redacted,redacted
"redacted","COMPLETED","Wednesday, October 1, 2025 6:13 PM","10.5","113.6","28.4",redacted,redacted
"redacted","COMPLETED","Wednesday, October 1, 2025 9:03 PM","10.0","107.2","26.8",redacted,redacted
"redacted","COMPLETED","Wednesday, October 1, 2025 3:46 PM","2.8","46.4","11.6",redacted,redacted
"redacted","COMPLETED","Thursday, October 2, 2025 4:25 PM","17.9","202.4","50.6",redacted,redacted
"redacted","COMPLETED","Thursday, October 2, 2025 6:21 PM","3.6","52.0","13.0",redacted,redacted
"redacted","COMPLETED","Thursday, October 2, 2025 6:35 PM","10.0","107.2","26.8",redacted,redacted
"redacted","COMPLETED","Thursday, October 2, 2025 5:54 PM","5.5","65.6","16.4",redacted,redacted
"redacted","DRIVER CANCELLED","Friday, October 3, 2025 8:41 PM","0.0","0.0","0.0",redacted,redacted
"redacted","CUSTOMER CANCELLED","Friday, October 3, 2025 7:20 PM","0.0","0.0","0.0",redacted,redacted
"redacted","COMPLETED","Friday, October 3, 2025 6:27 PM","9.0","94.4","23.6",redacted,redacted
"redacted","COMPLETED","Friday, October 3, 2025 3:58 PM","5.8","87.2","16.8",redacted,redacted
"redacted","DRIVER CANCELLED","Friday, October 3, 2025 5:39 PM","0.0","0.0","0.0",redacted,redacted
"redacted","COMPLETED","Friday, October 3, 2025 2:08 PM","10.4","112.0","28.0",redacted,redacted
"redacted","CUSTOMER CANCELLED","Friday, October 3, 2025 3:06 PM","0.0","0.0","0.0",redacted,redacted
"redacted","COMPLETED","Friday, October 3, 2025 4:39 PM","7.1","96.8","19.2",redacted,redacted
"redacted","DRIVER CANCELLED","Friday, October 3, 2025 3:01 PM","0.0","0.0","0.0",redacted,redacted
